symbol,company_name,sector,model_1,model_2,loss_type,sample_size,mean_loss_differential,dm_statistic,raw_p_value,holm_adjusted_p_value,reject,available,unavailable_reason,hac_lag,forecast_horizon,hln_correction_factor,holm_family_size,formal_run_id,formal_cutoff,formal_git_sha,supplementary_package_id,evidence_source
APX,"Apex Mining Co., Inc.",Mining and Oil,lstm,naive,absolute_error,246,0.0007724940113273742,0.6858231376056572,0.4934730993448585,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,lag_reg,arima,squared_error,246,0.05538237070602711,0.6851613475778539,0.493889835673353,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,lag_reg,lstm,squared_error,246,-0.0009264115932101189,-0.014627520649514602,0.9883412477198005,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,lag_reg,naive,squared_error,246,-0.20655285055978176,-2.2943433536024322,0.02261733396542354,0.13570400379254124,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,arima,lstm,squared_error,246,-0.05630878229923723,-0.8253319011584531,0.4099860769740867,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,arima,naive,squared_error,246,-0.26193522126580887,-1.6656029098580418,0.09707062541952247,0.48535312709761236,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,lstm,naive,squared_error,246,-0.20562643896657162,-1.6436948797554913,0.10152185532710356,0.48535312709761236,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,lag_reg,arima,absolute_error,246,0.008164491549065794,0.6246743439536454,0.5327661209094671,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,lag_reg,lstm,absolute_error,246,-0.002766724292922918,-0.23111567832177335,0.8174178264202747,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,lag_reg,naive,absolute_error,246,-0.014140443813666486,-0.8879570084075058,0.3754347750022873,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,arima,lstm,absolute_error,246,-0.010931215841988712,-1.1700601113155076,0.24311371218799008,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
BPI,Bank of the Philippine Islands,Financials,arima,naive,absolute_error,246,-0.02230493536273228,-0.9250403619124548,0.35585514057500617,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
